Player,MIN,PTS,FGM,FGA,3PTM,3PTA,FTM,FTA,A,REB,ORB,DRB,TO,BLK,STL,PF,eFG%,TS%,A/TO,Usage Rate,Box +/-,Team,Opponent
Jayvon Maughmer,33.0,31.0,11.0,18.0,3.0,5.0,6.0,6.0,0.0,7.0,1.0,6.0,2.0,1.0,0.0,2.0,0.69,0.75,0.0,31.52,0.33,Cedarville,Mo.-St. Louis
Chris Rogers,30.0,14.0,5.0,8.0,2.0,5.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.75,0.79,3.0,18.67,0.13,Cedarville,Mo.-St. Louis
Grant Whisman,31.0,11.0,4.0,9.0,3.0,7.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,0.61,0.61,0.0,12.9,0.06,Cedarville,Mo.-St. Louis
Jacob Drees,24.0,4.0,2.0,5.0,0.0,1.0,0.0,0.0,1.0,11.0,1.0,10.0,4.0,0.0,0.0,2.0,0.4,0.4,0.25,16.67,0.21,Cedarville,Mo.-St. Louis
Timothy Davis,6.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,26.67,-1.17,Cedarville,Mo.-St. Louis
Kyle Thomas,29.0,9.0,3.0,7.0,3.0,7.0,0.0,0.0,2.0,4.0,1.0,3.0,1.0,0.0,1.0,0.0,0.64,0.64,2.0,13.79,0.28,Cedarville,Mo.-St. Louis
Anthony Ruffolo,16.0,4.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.5,1.0,15.0,0.12,Cedarville,Mo.-St. Louis
Tymoteusz Pszczola,14.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.25,0.25,0.0,14.29,-0.07,Cedarville,Mo.-St. Louis
Ethan Sellars,16.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,15.0,-0.06,Cedarville,Mo.-St. Louis
David Okpara,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,-1.0,Cedarville,Mo.-St. Louis
