Number,Player,GP,GS,MIN,Min Per Game,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,OREB,DREB,REB,AVG REB,PF,A,TO,STL,BLK,eFG%,TS%,A/TO,Usage Rate,Box +/-
03,Matt Enright,29,29,1037.0,35.8,149.0,334.0,.446,57.0,165,.345,49,58.0,.845,404.0,13.9,17,94,111.0,3.8,56.0,94.0,50.0,35.0,4.0,0.53,0.56,1.88,20.68,0.14
15,Mayson Quartlebaum,27,24,776.0,28.7,114.0,219.0,.521,26.0,68,.382,59,88.0,.670,313.0,11.6,29,95,124.0,4.6,46.0,36.0,41.0,16.0,10.0,0.58,0.61,0.88,19.79,0.14
12,Emanuel Prospere II,28,14,790.0,28.2,127.0,238.0,.534,13.0,36,.361,45,70.0,.643,312.0,11.1,29,72,101.0,3.6,87.0,66.0,84.0,30.0,8.0,0.56,0.58,0.79,23.19,0.05
35,Troy Glover II,29,21,781.0,26.9,123.0,221.0,.557,0.0,1,.000,48,77.0,.623,294.0,10.1,73,163,236.0,8.1,58.0,37.0,42.0,25.0,49.0,0.56,0.58,0.88,19.31,0.31
20,Savon Wykle,25,21,767.0,30.7,82.0,184.0,.446,42.0,107,.393,37,47.0,.787,243.0,9.7,16,72,88.0,3.5,50.0,34.0,37.0,13.0,16.0,0.56,0.59,0.92,15.75,0.1
10,Janeir Harris,4,4,100.0,25.0,13.0,34.0,.382,3.0,12,.250,7,8.0,.875,36.0,9.0,4,13,17.0,4.3,9.0,7.0,9.0,1.0,3.0,0.43,0.48,0.78,23.2,0.04
21,Terrell Kabala,29,24,796.0,27.4,81.0,184.0,.440,36.0,101,.356,31,46.0,.674,229.0,7.9,5,67,72.0,2.5,71.0,42.0,41.0,24.0,2.0,0.54,0.56,1.02,15.73,0.03
05,Kris O'Neal II,29,7,540.0,18.6,33.0,72.0,.458,9.0,23,.391,19,26.0,.731,94.0,3.2,6,50,56.0,1.9,42.0,35.0,27.0,18.0,2.0,0.52,0.56,1.3,11.85,0.07
04,Sam Bledsoe,20,1,151.0,7.6,8.0,36.0,.222,8.0,34,.235,0,0.0,.000,24.0,1.2,1,8,9.0,0.5,14.0,3.0,6.0,0.0,1.0,0.33,0.33,0.5,11.92,-0.13
13,Georden Rogers,12,0,63.0,5.3,5.0,21.0,.238,3.0,11,.273,2,2.0,1.000,15.0,1.3,4,7,11.0,0.9,4.0,0.0,6.0,2.0,1.0,0.31,0.34,0.0,18.41,-0.06
02,Christian Meeks,17,0,74.0,4.4,1.0,8.0,.125,0.0,1,.000,7,11.0,.636,9.0,0.5,7,6,13.0,0.8,10.0,0.0,3.0,2.0,0.0,0.12,0.35,0.0,11.89,-0.11
